1.0000000e+00	0.0000000e+00	0.0000000e+00	1.0000000e+00
9.9196558e-01	4.3551220e-04	1.4195615e-03	9.9775368e-01
9.8386675e-01	9.9686272e-04	2.8240461e-03	9.9541027e-01
9.7570361e-01	1.6724235e-03	4.2156097e-03	9.9297586e-01
9.6747667e-01	2.4514257e-03	5.5961471e-03	9.9045618e-01
9.5918687e-01	3.3239002e-03	6.9673152e-03	9.8785659e-01
9.5083550e-01	4.2806231e-03	8.3305529e-03	9.8518209e-01
9.4242415e-01	5.3130633e-03	9.6871008e-03	9.8243738e-01
9.3395470e-01	6.4133353e-03	1.1038019e-02	9.7962685e-01
9.2542927e-01	7.5741532e-03	1.2384203e-02	9.7675462e-01
9.1685017e-01	8.7887895e-03	1.3726400e-02	9.7382453e-01
9.0821991e-01	1.0051036e-02	1.5065222e-02	9.7084020e-01
8.9954116e-01	1.1355165e-02	1.6401159e-02	9.6780500e-01
8.9081671e-01	1.2695900e-02	1.7734591e-02	9.6472210e-01
8.8204944e-01	1.4068379e-02	1.9065798e-02	9.6159446e-01
8.7324235e-01	1.5468125e-02	2.0394974e-02	9.5842488e-01
8.6439848e-01	1.6891024e-02	2.1722231e-02	9.5521596e-01
8.5552095e-01	1.8333291e-02	2.3047611e-02	9.5197015e-01
8.4661288e-01	1.9791451e-02	2.4371094e-02	9.4868974e-01
8.3767745e-01	2.1262318e-02	2.5692602e-02	9.4537688e-01
8.2871782e-01	2.2742967e-02	2.7012011e-02	9.4203361e-01
8.1973716e-01	2.4230723e-02	2.8329152e-02	9.3866181e-01
8.1073863e-01	2.5723137e-02	2.9643820e-02	9.3526327e-01
8.0172538e-01	2.7217970e-02	3.0955776e-02	9.3183967e-01
7.9270050e-01	2.8713180e-02	3.2264756e-02	9.2839259e-01
7.8366707e-01	3.0206903e-02	3.3570471e-02	9.2492350e-01
7.7462811e-01	3.1697445e-02	3.4872612e-02	9.2143380e-01
7.6558662e-01	3.3183264e-02	3.6170857e-02	9.1792481e-01
7.5654551e-01	3.4662959e-02	3.7464868e-02	9.1439775e-01
7.4750765e-01	3.6135263e-02	3.8754299e-02	9.1085381e-01
7.3847586e-01	3.7599029e-02	4.0038795e-02	9.0729407e-01
7.2945286e-01	3.9053222e-02	4.1317999e-02	9.0371957e-01
7.2044135e-01	4.0496907e-02	4.2591549e-02	9.0013129e-01
7.1144392e-01	4.1929248e-02	4.3859082e-02	8.9653016e-01
7.0246311e-01	4.3349493e-02	4.5120238e-02	8.9291706e-01
6.9350137e-01	4.4756971e-02	4.6374655e-02	8.8929280e-01
6.8456111e-01	4.6151084e-02	4.7621980e-02	8.8565817e-01
6.7564461e-01	4.7531301e-02	4.8861860e-02	8.8201392e-01
6.6675413e-01	4.8897155e-02	5.0093951e-02	8.7836074e-01
6.5789182e-01	5.0248232e-02	5.1317915e-02	8.7469931e-01
6.4905976e-01	5.1584173e-02	5.2533419e-02	8.7103025e-01
6.4025997e-01	5.2904665e-02	5.3740142e-02	8.6735418e-01
6.3149438e-01	5.4209437e-02	5.4937770e-02	8.6367166e-01
6.2276485e-01	5.5498260e-02	5.6125997e-02	8.5998324e-01
6.1407316e-01	5.6770939e-02	5.7304528e-02	8.5628943e-01
6.0542102e-01	5.8027311e-02	5.8473078e-02	8.5259075e-01
5.9681008e-01	5.9267245e-02	5.9631372e-02	8.4888764e-01
5.8824190e-01	6.0490636e-02	6.0779144e-02	8.4518058e-01
5.7971798e-01	6.1697402e-02	6.1916142e-02	8.4146999e-01
5.7123975e-01	6.2887485e-02	6.3042120e-02	8.3775628e-01
5.6280858e-01	6.4060846e-02	6.4156846e-02	8.3403986e-01
5.5442576e-01	6.5217463e-02	6.5260098e-02	8.3032110e-01
5.4609253e-01	6.6357331e-02	6.6351663e-02	8.2660036e-01
5.3781005e-01	6.7480461e-02	6.7431341e-02	8.2287800e-01
5.2957942e-01	6.8586873e-02	6.8498940e-02	8.1915435e-01
5.2140171e-01	6.9676604e-02	6.9554280e-02	8.1542974e-01
5.1327789e-01	7.0749695e-02	7.0597192e-02	8.1170447e-01
5.0520890e-01	7.1806202e-02	7.1627514e-02	8.0797886e-01
4.9719561e-01	7.2846184e-02	7.2645097e-02	8.0425318e-01
4.8923884e-01	7.3869712e-02	7.3649800e-02	8.0052772e-01
4.8133937e-01	7.4876858e-02	7.4641492e-02	7.9680274e-01
4.7349792e-01	7.5867704e-02	7.5620051e-02	7.9307852e-01
4.6571515e-01	7.6842334e-02	7.6585365e-02	7.8935530e-01
4.5799168e-01	7.7800837e-02	7.7537330e-02	7.8563332e-01
